# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
10.200,0.0160,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.210,0.0080,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.220,0.0320,0.0080,0.0000,-80.00,-48.00,3,150,SEARCHING
10.230,0.0360,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
10.240,0.0520,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
10.250,0.0480,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.260,0.0560,0.0000,0.0400,-80.00,-48.00,3,150,SEARCHING
10.270,0.0800,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.280,0.0800,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.290,0.0680,0.0080,0.0040,-80.00,-48.00,3,150,SEARCHING
10.300,0.1200,0.0160,0.0000,-80.00,-48.00,3,150,SEARCHING
10.310,0.1200,0.0200,0.0000,-80.00,-48.00,3,150,SEARCHING
10.320,0.1360,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
10.330,0.1680,0.0000,0.0280,-71.43,8.57,133,129,TURN_LEFT
10.340,0.1720,0.0000,0.0000,-100.00,-231.43,-150,150,TURN_LEFT
10.350,0.2320,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
10.360,0.2600,0.0120,0.0000,-95.59,-30.88,74,150,TURN_LEFT
10.370,0.3200,0.0000,0.0120,-92.77,-38.76,62,150,TURN_LEFT
10.380,0.3280,0.0000,0.0000,-100.00,-103.37,-35,150,TURN_LEFT
10.390,0.3920,0.0080,0.0000,-98.00,-46.80,50,150,TURN_LEFT
10.400,0.4480,0.0000,0.0000,-100.00,-72.00,12,150,TURN_LEFT
10.410,0.5200,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
10.420,0.5760,0.0000,0.0120,-95.92,-33.06,70,150,TURN_LEFT
10.430,0.6360,0.0000,0.0000,-100.00,-84.49,-7,150,TURN_LEFT
10.440,0.6960,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
10.450,0.7800,0.0000,0.0000,-100.00,-60.00,30,150,TURN_LEFT
10.460,0.8600,0.0160,0.0160,-94.62,-24.48,83,150,TURN_LEFT
10.470,0.8960,0.0040,0.0040,-98.67,-83.53,-5,150,TURN_LEFT
10.480,0.9080,0.0120,0.0000,-98.70,-59.36,31,150,TURN_LEFT
10.490,0.9480,0.0160,0.0000,-98.34,-56.87,35,150,TURN_LEFT
10.500,0.9760,0.0400,0.0000,-96.06,-43.97,54,150,TURN_LEFT
10.510,0.9720,0.0240,0.0160,-94.47,-47.10,49,150,TURN_LEFT
10.520,0.9920,0.0240,0.0000,-97.64,-77.61,4,150,TURN_LEFT
10.530,0.9840,0.0360,0.0080,-94.94,-40.79,59,150,TURN_LEFT
10.540,0.9400,0.0600,0.0000,-94.00,-50.75,44,150,TURN_LEFT
10.550,0.8600,0.0920,0.0000,-90.34,-32.22,72,150,TURN_LEFT
10.560,0.7960,0.1240,0.0040,-85.71,-23.70,84,150,TURN_LEFT
10.570,0.7240,0.1880,0.0200,-75.54,15.74,144,116,TURN_LEFT
10.580,0.6320,0.2120,0.0000,-74.88,-41.00,59,150,TURN_LEFT
10.590,0.5560,0.2640,0.0000,-67.80,1.78,123,141,TURN_LEFT
10.600,0.4680,0.3320,0.0040,-57.71,25.93,150,97,TURN_LEFT
10.610,0.4160,0.3920,0.0000,-51.49,6.47,130,132,TURN_LEFT
10.620,0.3760,0.4480,0.0000,-45.63,7.75,132,130,TURN_LEFT
10.630,0.3280,0.5080,0.0040,-38.57,19.21,149,109,TURN_LEFT
10.640,0.2800,0.5720,0.0080,-31.63,22.68,150,103,TURN_LEFT
10.650,0.2360,0.6360,0.0040,-26.48,14.97,142,117,TURN_LEFT
10.660,0.1880,0.6680,0.0040,-21.40,17.69,147,112,TURN_LEFT
10.670,0.1960,0.7480,0.0000,-20.76,-8.66,107,150,TURN_LEFT
10.680,0.1440,0.7480,0.0000,-16.14,18.03,147,112,TURN_LEFT
10.690,0.1200,0.8480,0.0000,-12.40,15.04,143,117,TURN_LEFT
10.700,0.1040,0.8360,0.0040,-10.59,4.46,127,136,TURN_LEFT
10.710,0.1000,0.9040,0.0320,-6.56,20.24,150,108,STRAIGHT
10.720,0.0800,0.8960,0.0000,-8.20,-14.72,98,150,STRAIGHT
10.730,0.0760,0.9560,0.0120,-6.13,8.72,133,128,STRAIGHT
10.740,0.0520,0.9640,0.0000,-5.12,3.00,125,139,STRAIGHT
10.750,0.0400,0.9840,0.0200,-1.92,18.06,147,111,STRAIGHT
10.760,0.0440,0.9920,0.0320,-1.12,4.08,126,137,STRAIGHT
10.770,0.0240,1.0000,0.0080,-1.55,-3.49,115,150,STRAIGHT
10.780,0.0200,0.9880,0.0400,1.91,21.90,150,105,STRAIGHT
10.790,0.0040,1.0000,0.0280,2.33,3.90,126,137,STRAIGHT
10.800,0.0120,0.9840,0.0360,2.33,1.40,122,141,STRAIGHT
10.810,0.0400,0.9640,0.0400,0.00,-13.95,99,150,STRAIGHT
10.820,0.0200,0.9560,0.0520,3.11,20.54,150,107,STRAIGHT
10.830,0.0200,0.9160,0.0800,5.91,20.30,150,107,STRAIGHT
10.840,0.0040,0.9040,0.0720,6.94,10.36,136,125,STRAIGHT
10.850,0.0120,0.8840,0.0800,6.97,4.35,127,136,STRAIGHT
10.860,0.0160,0.8680,0.1120,9.64,21.81,150,105,STRAIGHT
10.870,0.0160,0.8400,0.1160,10.29,10.07,135,126,TURN_RIGHT
10.880,0.0080,0.8240,0.1240,12.13,18.36,148,111,TURN_RIGHT
10.890,0.0120,0.7640,0.1480,14.72,24.34,150,100,TURN_RIGHT
10.900,0.0000,0.7920,0.1280,13.91,3.51,125,138,TURN_RIGHT
10.910,0.0000,0.7440,0.1200,13.89,8.19,132,129,TURN_RIGHT
10.920,0.0120,0.7600,0.1440,14.41,11.78,138,123,TURN_RIGHT
10.930,0.0120,0.7400,0.1480,15.11,13.27,140,120,TURN_RIGHT
10.940,0.0000,0.7360,0.1800,19.65,39.03,150,74,TURN_RIGHT
10.950,0.0000,0.7120,0.1800,20.18,15.28,143,116,TURN_RIGHT
10.960,0.0000,0.7080,0.1560,18.06,-1.91,117,147,TURN_RIGHT
10.970,0.0000,0.6960,0.1800,20.55,27.28,150,95,TURN_RIGHT
10.980,0.0000,0.7040,0.1760,20.00,8.71,133,128,TURN_RIGHT
10.990,0.0000,0.7200,0.1680,18.92,4.86,127,135,TURN_RIGHT
11.000,0.0000,0.7040,0.1720,19.63,16.08,144,115,TURN_RIGHT
11.010,0.0000,0.7000,0.1600,18.60,4.98,127,135,TURN_RIGHT
11.020,0.0160,0.6960,0.1720,17.65,4.84,127,135,TURN_RIGHT
11.030,0.0200,0.6920,0.1800,17.94,12.50,139,121,TURN_RIGHT
11.040,0.0240,0.7040,0.1520,14.55,-11.62,103,150,TURN_RIGHT
11.050,0.0080,0.6960,0.1760,19.09,38.73,150,74,TURN_RIGHT
11.060,0.0000,0.6960,0.1520,17.92,3.76,126,137,TURN_RIGHT
11.070,0.0000,0.7040,0.1680,19.27,19.61,149,109,TURN_RIGHT
11.080,0.0280,0.7120,0.1560,14.29,-21.31,88,150,TURN_RIGHT
11.090,0.0000,0.7080,0.1520,17.67,30.94,150,88,TURN_RIGHT
11.100,0.0040,0.7280,0.1360,15.21,-5.68,111,150,TURN_RIGHT
11.110,0.0120,0.7280,0.1280,13.36,-3.04,115,149,TURN_RIGHT
11.120,0.0120,0.7320,0.1360,14.09,12.82,139,121,TURN_RIGHT
11.130,0.0080,0.7280,0.1600,16.96,27.42,150,95,TURN_RIGHT
11.140,0.0000,0.7800,0.1240,13.72,-11.25,103,150,TURN_RIGHT
11.150,0.0040,0.7360,0.1360,15.07,17.15,146,113,TURN_RIGHT
11.160,0.0000,0.7760,0.1120,12.61,-7.17,109,150,TURN_RIGHT
11.170,0.0320,0.7600,0.1400,11.59,0.81,121,143,TURN_RIGHT
11.180,0.0280,0.7920,0.1280,10.55,0.09,120,144,TURN_RIGHT
11.190,0.0000,0.7600,0.1360,15.18,36.89,150,78,TURN_RIGHT
11.200,0.0000,0.8080,0.0840,9.42,-28.92,77,150,STRAIGHT
11.210,0.0120,0.8000,0.1240,11.97,22.47,150,104,TURN_RIGHT
11.220,0.0000,0.8440,0.1040,10.97,0.61,121,143,TURN_RIGHT
11.230,0.0240,0.8160,0.0840,6.49,-22.97,86,150,STRAIGHT
11.240,0.0160,0.8560,0.1080,9.39,23.00,150,103,STRAIGHT
11.250,0.0120,0.8360,0.1040,9.66,7.45,131,131,STRAIGHT
11.260,0.0000,0.8680,0.0800,8.44,-2.29,117,148,STRAIGHT
11.270,0.0200,0.8800,0.0920,7.26,-2.73,116,149,STRAIGHT
11.280,0.0000,0.8920,0.0760,7.85,8.27,132,129,STRAIGHT
11.290,0.0240,0.8800,0.0640,4.13,-19.83,90,150,STRAIGHT
11.300,0.0120,0.9000,0.0800,6.85,20.45,150,107,STRAIGHT
11.310,0.0080,0.9080,0.0720,6.48,1.62,122,141,STRAIGHT
11.320,0.0200,0.9040,0.0520,3.28,-17.23,94,150,STRAIGHT
11.330,0.0320,0.9360,0.0520,1.96,-6.73,110,150,STRAIGHT
11.340,0.0360,0.9040,0.0720,3.56,11.71,138,123,STRAIGHT
11.350,0.0160,0.9560,0.0560,3.89,4.34,127,136,STRAIGHT
11.360,0.0120,0.9080,0.0760,6.43,19.06,149,110,STRAIGHT
11.370,0.0040,0.9520,0.0560,5.14,-4.64,113,150,STRAIGHT
11.380,0.0040,0.9240,0.0600,5.67,6.58,130,132,STRAIGHT
11.390,0.0080,0.9440,0.0440,3.61,-10.15,105,150,STRAIGHT
11.400,0.0080,0.9400,0.0400,3.24,-0.31,120,145,STRAIGHT
11.410,0.0360,0.9400,0.0680,3.07,0.80,121,143,STRAIGHT
11.420,0.0160,0.9800,0.0320,1.56,-8.12,108,150,STRAIGHT
11.430,0.0000,0.9600,0.0360,3.61,14.52,142,118,STRAIGHT
11.440,0.0040,0.9680,0.0360,3.17,-0.73,119,145,STRAIGHT
11.450,0.0200,0.9800,0.0400,1.92,-6.36,110,150,STRAIGHT
11.460,0.0200,1.0000,0.0320,1.14,-4.01,114,150,STRAIGHT
11.470,0.0200,0.9560,0.0400,1.97,6.15,129,133,STRAIGHT
11.480,0.0040,0.9800,0.0440,3.89,13.87,141,119,STRAIGHT
11.490,0.0480,0.9440,0.0480,0.00,-23.35,85,150,STRAIGHT
11.500,0.0200,0.9960,0.0280,0.77,5.06,128,135,STRAIGHT
11.510,0.0280,0.9560,0.0440,1.56,5.67,129,134,STRAIGHT
11.520,0.0240,1.0000,0.0280,0.38,-6.83,110,150,STRAIGHT
11.530,0.0160,0.9600,0.0480,3.13,18.34,148,111,STRAIGHT
11.540,0.0200,0.9880,0.0280,0.77,-13.65,100,150,STRAIGHT
11.550,0.0320,0.9960,0.0320,0.00,-4.63,113,150,STRAIGHT
11.560,0.0280,1.0000,0.0280,0.00,0.00,120,144,STRAIGHT
11.570,0.0320,0.9680,0.0400,0.77,5.08,128,135,STRAIGHT
11.580,0.0160,0.9920,0.0560,3.76,20.20,150,108,STRAIGHT
11.590,0.0280,0.9840,0.0360,0.76,-17.52,94,150,STRAIGHT
11.600,0.0440,0.9880,0.0000,-4.26,-32.72,71,150,STRAIGHT
11.610,0.0280,1.0000,0.0400,1.12,33.00,150,85,STRAIGHT
11.620,0.0320,0.9800,0.0120,-1.95,-19.63,91,150,STRAIGHT
11.630,0.0240,1.0000,0.0200,-0.38,9.19,134,127,STRAIGHT
11.640,0.0320,0.9640,0.0120,-1.98,-10.80,104,150,STRAIGHT
11.650,0.0080,0.9920,0.0360,2.70,29.74,150,90,STRAIGHT
11.660,0.0240,0.9680,0.0280,0.39,-13.63,100,150,STRAIGHT
11.670,0.0400,0.9960,0.0160,-2.28,-17.41,94,150,STRAIGHT
11.680,0.0320,0.9480,0.0080,-2.43,-2.34,116,148,STRAIGHT
11.690,0.0360,0.9840,0.0000,-3.53,-8.72,107,150,STRAIGHT
11.700,0.0320,0.9720,0.0080,-2.37,5.52,128,134,STRAIGHT
11.710,0.0240,0.9840,0.0200,-0.39,11.66,137,123,STRAIGHT
11.720,0.0360,0.9640,0.0120,-2.37,-13.32,100,150,STRAIGHT
11.730,0.0280,0.9880,0.0000,-2.76,-3.96,114,150,STRAIGHT
11.740,0.0400,0.9880,0.0000,-3.89,-9.15,106,150,STRAIGHT
11.750,0.0520,0.9760,0.0280,-2.27,8.35,133,129,STRAIGHT
11.760,0.0360,0.9600,0.0160,-1.98,0.59,121,143,STRAIGHT
11.770,0.0160,0.9720,0.0160,0.00,11.86,138,123,STRAIGHT
11.780,0.0400,1.0000,0.0240,-1.50,-9.92,105,150,STRAIGHT
11.790,0.0560,0.9800,0.0080,-4.60,-21.32,88,150,STRAIGHT
11.800,0.0320,0.9840,0.0120,-1.95,14.75,142,117,STRAIGHT
11.810,0.0400,0.9760,0.0000,-3.94,-14.31,99,150,STRAIGHT
11.820,0.0400,0.9840,0.0240,-1.53,13.55,140,120,STRAIGHT
11.830,0.0200,0.9680,0.0000,-2.02,-4.20,114,150,STRAIGHT
11.840,0.0600,0.9600,0.0160,-4.25,-15.89,96,150,STRAIGHT
11.850,0.0440,0.9400,0.0080,-3.63,1.53,122,141,STRAIGHT
11.860,0.0400,0.9920,0.0240,-1.52,11.77,138,123,STRAIGHT
11.870,0.0360,0.9560,0.0240,-1.18,1.30,122,142,STRAIGHT
11.880,0.0480,0.9760,0.0040,-4.28,-21.16,88,150,STRAIGHT
11.890,0.0280,0.9440,0.0120,-1.63,14.95,142,117,STRAIGHT
11.900,0.0160,0.9840,0.0160,0.00,9.76,135,126,STRAIGHT
11.910,0.0520,0.9520,0.0120,-3.94,-25.98,81,150,STRAIGHT
11.920,0.0440,0.9760,0.0280,-1.53,13.55,140,120,STRAIGHT
11.930,0.0280,0.9480,0.0400,1.18,16.96,145,113,STRAIGHT
11.940,0.0400,0.9800,0.0280,-1.15,-14.64,98,150,STRAIGHT
11.950,0.0280,0.9640,0.0120,-1.59,-3.65,115,150,STRAIGHT
11.960,0.0280,0.9840,0.0040,-2.36,-6.03,111,150,STRAIGHT
11.970,0.0600,0.9360,0.0000,-6.02,-25.59,82,150,STRAIGHT
11.980,0.0320,1.0000,0.0320,0.00,36.14,150,79,STRAIGHT
11.990,0.0120,0.9760,0.0000,-1.21,-8.02,108,150,STRAIGHT
12.000,0.0360,0.9920,0.0240,-1.14,-0.24,120,144,STRAIGHT
12.010,0.0400,0.9480,0.0000,-4.05,-19.88,90,150,STRAIGHT
12.020,0.0360,0.9880,0.0080,-2.71,6.38,130,133,STRAIGHT
12.030,0.0520,0.9440,0.0240,-2.75,-1.84,117,147,STRAIGHT
12.040,0.0480,0.9840,0.0360,-1.12,9.05,134,128,STRAIGHT
12.050,0.0600,0.9600,0.0240,-3.45,-16.02,96,150,STRAIGHT
12.060,0.0360,0.9520,0.0160,-1.99,7.54,131,130,STRAIGHT
12.070,0.0280,0.9720,0.0160,-1.18,4.16,126,137,STRAIGHT
12.080,0.0480,0.9800,0.0200,-2.67,-10.55,104,150,STRAIGHT
12.090,0.0200,0.9760,0.0200,0.00,16.03,144,115,STRAIGHT
12.100,0.0560,0.9480,0.0160,-3.92,-25.88,81,150,STRAIGHT
12.110,0.0320,0.9800,0.0160,-1.56,13.26,140,120,STRAIGHT
12.120,0.0440,0.9760,0.0120,-3.10,-11.13,103,150,STRAIGHT
12.130,0.0280,0.9840,0.0080,-1.96,5.66,128,134,STRAIGHT
12.140,0.0520,0.9360,0.0280,-2.36,-3.83,114,150,STRAIGHT
12.150,0.0600,0.9720,0.0240,-3.41,-8.33,108,150,STRAIGHT
12.160,0.0640,0.9720,0.0120,-4.96,-12.29,102,150,STRAIGHT
12.170,0.0640,0.9720,0.0320,-3.00,10.00,135,126,STRAIGHT
12.180,0.0360,0.9840,0.0040,-3.13,-2.65,116,149,STRAIGHT
12.190,0.0480,0.9640,0.0240,-2.32,3.46,125,138,STRAIGHT
12.200,0.0400,1.0000,0.0200,-1.89,1.45,122,141,STRAIGHT
12.210,0.0480,0.9520,0.0120,-3.56,-12.16,102,150,STRAIGHT
12.220,0.0280,0.9800,0.0040,-2.37,5.69,129,134,STRAIGHT
12.230,0.0360,0.9480,0.0000,-3.66,-9.92,105,150,STRAIGHT
12.240,0.0520,0.9760,0.0120,-3.85,-3.43,115,150,STRAIGHT
12.250,0.0520,0.9680,0.0000,-5.10,-10.57,104,150,STRAIGHT
12.260,0.0520,0.9600,0.0040,-4.72,-0.59,119,145,STRAIGHT
12.270,0.0320,0.9760,0.0120,-1.96,15.41,143,116,STRAIGHT
12.280,0.0520,0.9960,0.0160,-3.38,-10.57,104,150,STRAIGHT
12.290,0.0320,0.9720,0.0280,-0.39,17.74,147,112,STRAIGHT
12.300,0.0160,0.9920,0.0280,1.16,9.97,135,126,STRAIGHT
12.310,0.0240,0.9680,0.0000,-2.42,-22.92,86,150,STRAIGHT
12.320,0.0480,0.9560,0.0240,-2.33,-0.89,119,146,STRAIGHT
12.330,0.0480,0.9680,0.0200,-2.70,-3.83,114,150,STRAIGHT
12.340,0.0320,1.0000,0.0040,-2.70,-1.62,118,147,STRAIGHT
12.350,0.0280,0.9480,0.0000,-2.87,-2.72,116,149,STRAIGHT
12.360,0.0440,0.9680,0.0360,-0.76,12.17,138,122,STRAIGHT
12.370,0.0600,1.0000,0.0320,-2.56,-12.34,101,150,STRAIGHT
12.380,0.0440,0.9760,0.0360,-0.76,10.38,136,125,STRAIGHT
12.390,0.0360,0.9680,0.0200,-1.56,-5.77,111,150,STRAIGHT
12.400,0.0520,0.9800,0.0080,-4.23,-18.55,92,150,STRAIGHT
12.410,0.0400,0.9800,0.0040,-3.52,2.18,123,140,STRAIGHT
12.420,0.0400,0.9480,0.0000,-4.05,-5.63,112,150,STRAIGHT
12.430,0.0520,0.9640,0.0000,-5.12,-9.49,106,150,STRAIGHT
12.440,0.0560,0.9640,0.0000,-5.49,-5.53,112,150,STRAIGHT
12.450,0.0600,0.9600,0.0040,-5.47,-3.15,115,150,STRAIGHT
12.460,0.0720,0.9480,0.0120,-5.81,-5.56,112,150,STRAIGHT
12.470,0.0600,0.9600,0.0320,-2.66,17.32,146,113,STRAIGHT
12.480,0.0880,0.9480,0.0000,-8.49,-40.09,60,150,STRAIGHT
12.490,0.0760,0.9320,0.0040,-7.11,4.01,126,137,STRAIGHT
12.500,0.0520,0.9360,0.0040,-4.84,10.75,136,125,STRAIGHT
12.510,0.0960,0.9320,0.0240,-6.84,-16.14,96,150,STRAIGHT
12.520,0.0680,0.9400,0.0040,-6.32,-0.67,119,145,STRAIGHT
12.530,0.0760,0.9280,0.0280,-4.65,7.25,131,131,STRAIGHT
12.540,0.0880,0.9040,0.0120,-7.57,-22.05,87,150,STRAIGHT
12.550,0.1120,0.8840,0.0080,-10.36,-22.95,86,150,TURN_LEFT
12.560,0.1000,0.8720,0.0120,-8.94,3.13,125,138,STRAIGHT
12.570,0.1040,0.8400,0.0000,-11.02,-19.05,91,150,TURN_LEFT
12.580,0.1160,0.8640,0.0160,-10.04,-0.16,120,144,TURN_LEFT
12.590,0.1280,0.8400,0.0160,-11.38,-14.88,98,150,TURN_LEFT
12.600,0.1120,0.8360,0.0040,-11.34,-6.58,110,150,TURN_LEFT
12.610,0.1680,0.7840,0.0000,-17.65,-48.40,47,150,TURN_LEFT
12.620,0.1920,0.7960,0.0000,-19.43,-22.38,86,150,TURN_LEFT
12.630,0.2160,0.7400,0.0000,-22.59,-32.52,71,150,TURN_LEFT
12.640,0.2440,0.7000,0.0120,-24.27,-24.60,83,150,TURN_LEFT
12.650,0.2680,0.7000,0.0080,-26.64,-30.21,75,150,TURN_LEFT
12.660,0.3120,0.6720,0.0040,-31.17,-45.91,51,150,TURN_LEFT
12.670,0.3240,0.6520,0.0040,-32.65,-28.47,77,150,TURN_LEFT
12.680,0.3920,0.6040,0.0040,-38.80,-60.16,30,150,TURN_LEFT
12.690,0.4480,0.5800,0.0000,-43.58,-54.83,38,150,TURN_LEFT
12.700,0.5080,0.5720,0.0200,-44.36,-31.32,73,150,TURN_LEFT
12.710,0.5600,0.5560,0.0040,-49.64,-61.46,28,150,TURN_LEFT
12.720,0.6360,0.5040,0.0000,-55.79,-70.35,14,150,TURN_LEFT
12.730,0.7200,0.4840,0.0000,-59.80,-59.95,30,150,TURN_LEFT
12.740,0.7720,0.4640,0.0000,-62.46,-53.43,40,150,TURN_LEFT
12.750,0.8400,0.4400,0.0000,-65.63,-58.37,32,150,TURN_LEFT
12.760,0.8960,0.4120,0.0200,-65.96,-41.61,58,150,TURN_LEFT
12.770,0.9240,0.3880,0.0000,-70.43,-69.03,16,150,TURN_LEFT
12.780,0.9760,0.3680,0.0000,-72.62,-56.72,35,150,TURN_LEFT
12.790,0.9600,0.3320,0.0000,-74.30,-54.69,38,150,TURN_LEFT
12.800,0.9800,0.2920,0.0120,-75.39,-51.75,42,150,TURN_LEFT
12.810,1.0000,0.3000,0.0000,-76.92,-55.36,37,150,TURN_LEFT
12.820,0.9800,0.2560,0.0000,-79.29,-61.76,27,150,TURN_LEFT
12.830,1.0000,0.2280,0.0000,-81.43,-61.73,27,150,TURN_LEFT
12.840,0.9480,0.2080,0.0000,-82.01,-52.65,41,150,TURN_LEFT
12.850,0.9240,0.1840,0.0000,-83.39,-58.36,32,150,TURN_LEFT
12.860,0.8840,0.1760,0.0040,-82.71,-45.50,52,150,TURN_LEFT
12.870,0.8440,0.1400,0.0000,-85.77,-69.86,15,150,TURN_LEFT
12.880,0.8120,0.1360,0.0040,-84.87,-45.53,52,150,TURN_LEFT
12.890,0.7360,0.0960,0.0000,-88.46,-74.60,8,150,TURN_LEFT
12.900,0.7000,0.1000,0.0120,-84.73,-28.44,77,150,TURN_LEFT
12.910,0.6760,0.0760,0.0000,-89.89,-84.92,-7,150,TURN_LEFT
12.920,0.6080,0.0600,0.0000,-91.02,-61.36,28,150,TURN_LEFT
12.930,0.5800,0.0600,0.0000,-90.63,-52.02,42,150,TURN_LEFT
12.940,0.5240,0.0280,0.0080,-92.14,-64.39,23,150,TURN_LEFT
12.950,0.4960,0.0320,0.0120,-89.63,-38.70,62,150,TURN_LEFT
12.960,0.4520,0.0400,0.0000,-91.87,-68.56,17,150,TURN_LEFT
12.970,0.4040,0.0160,0.0040,-94.34,-71.42,13,150,TURN_LEFT
12.980,0.3800,0.0160,0.0000,-95.96,-67.30,19,150,TURN_LEFT
12.990,0.3440,0.0120,0.0000,-96.63,-62.00,27,150,TURN_LEFT
13.000,0.3360,0.0000,0.0200,-88.76,-6.07,111,150,TURN_LEFT
13.010,0.3120,0.0040,0.0000,-98.73,-119.06,-59,150,TURN_LEFT
13.020,0.2960,0.0000,0.0000,-100.00,-67.59,19,150,TURN_LEFT
13.030,0.2560,0.0160,0.0080,-88.57,15.43,143,116,TURN_LEFT
13.040,0.2640,0.0000,0.0000,-100.00,-128.57,-73,150,TURN_LEFT
13.050,0.2480,0.0040,0.0040,-95.31,-29.06,76,150,TURN_LEFT
13.060,0.2000,0.0040,0.0000,-98.04,-75.18,7,150,TURN_LEFT
13.070,0.1880,0.0080,0.0040,-92.00,-18.96,92,150,TURN_LEFT
13.080,0.1840,0.0320,0.0000,-85.19,-10.22,105,150,TURN_LEFT
13.090,0.1400,0.0000,0.0000,-80.00,-16.89,50,120,SEARCHING
13.100,0.1280,0.0000,0.0040,-80.00,-48.00,3,150,SEARCHING
13.110,0.1400,0.0080,0.0160,-75.61,-19.02,91,150,TURN_LEFT
13.120,0.1240,0.0240,0.0080,-74.36,-37.11,64,150,TURN_LEFT
13.130,0.1040,0.0080,0.0000,-80.00,-81.85,-48,150,SEARCHING
13.140,0.1040,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
13.150,0.0840,0.0080,0.0040,-80.00,-48.00,3,150,SEARCHING
13.160,0.0760,0.0000,0.0200,-80.00,-48.00,3,150,SEARCHING
13.170,0.1000,0.0040,0.0080,-80.00,-48.00,3,150,SEARCHING
13.180,0.0800,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
13.190,0.0680,0.0040,0.0160,-80.00,-48.00,3,150,SEARCHING
13.200,0.1080,0.0000,0.0160,-80.00,-48.00,3,150,SEARCHING
13.210,0.0840,0.0080,0.0120,-80.00,-48.00,3,150,SEARCHING
13.220,0.0720,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
13.230,0.1040,0.0080,0.0000,-80.00,-48.00,3,150,SEARCHING
13.240,0.0880,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
13.250,0.0600,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
13.260,0.1160,0.0160,0.0160,-80.00,-48.00,3,150,SEARCHING
13.270,0.1240,0.0000,0.0000,-80.00,-48.00,3,150,SEARCHING
13.280,0.1320,0.0000,0.0080,-80.00,-48.00,3,150,SEARCHING
13.290,0.1600,0.0120,0.0000,-93.02,-133.95,-81,150,TURN_LEFT
13.300,0.1840,0.0080,0.0000,-95.83,-74.36,8,150,TURN_LEFT
13.310,0.1840,0.0160,0.0000,-92.00,-32.20,72,150,TURN_LEFT
13.320,0.2200,0.0000,0.0040,-96.43,-84.43,-7,150,TURN_LEFT
13.330,0.2600,0.0000,0.0000,-100.00,-81.43,-2,150,TURN_LEFT
13.340,0.3360,0.0000,0.0040,-97.65,-44.47,53,150,TURN_LEFT
13.350,0.3320,0.0000,0.0160,-90.80,-13.43,100,150,TURN_LEFT
13.360,0.3640,0.0000,0.0000,-100.00,-115.17,-53,150,TURN_LEFT
13.370,0.4320,0.0040,0.0000,-99.08,-53.94,39,150,TURN_LEFT
13.380,0.4560,0.0000,0.0040,-98.26,-54.03,39,150,TURN_LEFT
13.390,0.5160,0.0000,0.0000,-100.00,-70.43,14,150,TURN_LEFT
13.400,0.5880,0.0000,0.0040,-98.65,-51.08,43,150,TURN_LEFT
13.410,0.6600,0.0160,0.0000,-97.63,-52.49,41,150,TURN_LEFT
13.420,0.7120,0.0000,0.0000,-100.00,-74.20,9,150,TURN_LEFT
13.430,0.7640,0.0080,0.0000,-98.96,-53.16,40,150,TURN_LEFT
13.440,0.8560,0.0000,0.0000,-100.00,-66.22,21,150,TURN_LEFT
13.450,0.9000,0.0120,0.0000,-98.68,-51.32,43,150,TURN_LEFT
13.460,0.9600,0.0080,0.0000,-99.17,-62.44,26,150,TURN_LEFT
13.470,0.9680,0.0160,0.0040,-97.57,-48.93,47,150,TURN_LEFT
13.480,1.0000,0.0240,0.0080,-96.12,-48.99,47,150,TURN_LEFT
13.490,0.9800,0.0200,0.0080,-96.43,-59.68,30,150,TURN_LEFT
13.500,0.9920,0.0120,0.0080,-97.23,-63.17,25,150,TURN_LEFT
13.510,0.9720,0.0480,0.0120,-93.02,-30.55,74,150,TURN_LEFT
13.520,0.8840,0.0720,0.0000,-92.47,-52.15,42,150,TURN_LEFT
13.530,0.8520,0.0960,0.0000,-89.87,-38.35,62,150,TURN_LEFT
13.540,0.7840,0.1280,0.0040,-85.15,-22.77,86,150,TURN_LEFT
13.550,0.6920,0.1800,0.0120,-76.92,3.22,125,138,TURN_LEFT
13.560,0.6320,0.2280,0.0000,-73.49,-23.48,85,150,TURN_LEFT
13.570,0.5400,0.2640,0.0000,-67.16,-2.35,116,148,TURN_LEFT
13.580,0.4880,0.3440,0.0000,-58.65,15.87,144,115,TURN_LEFT
13.590,0.4080,0.4240,0.0080,-47.62,37.64,150,76,TURN_LEFT
